key,de,en,es,fr,it,ru,zh-hans
%(from)s-%(to)s relationship,%(from)s-%(to)s-Beziehung,,Relación %(from)s-%(to)s,Relation %(from)s-%(to)s,Relazione %(from)s-%(to)s,Отношение %(from)s-%(to)s,关系 %(from)s-%(to)s
%(from)s-%(to)s relationships,%(from)s-%(to)s-Beziehungen,,Relaciones %(from)s-%(to)s,Relations %(from)s-%(to)s,Relazioni %(from)s-%(to)s,Отношения %(from)s-%(to)s,关系们 %(from)s-%(to)s
%(model)s instance with %(field)s %(value)r does not exist.,Ein %(model)s mit %(field)s %(value)r gibt's nicht!,,¡No existe un %(model)s con %(field)s %(value)r!,L'instance %(model)s avec %(field)s %(value)r n'existe pas !,L'istanza %(model)s con %(field)s %(value)r non esiste!,Экземпляр %(model)s с %(field)s %(value)r не существует.,%(model)s 实例与 %(field)s %(value)r 不存在。
%(model_name)s with this %(field_label)s already exists.,Ein %(model_name)s mit diesem %(field_label)s gibt's schon.,,¡Ya existe un %(model_name)s con este %(field_label)s!,Un %(model_name)s avec ce %(field_label)s existe déjà !,%(model_name)s con questo %(field_label)s esiste già!,%(model_name)s с этим %(field_label)s уже существует.,这个 %(model_name)s 的 %(field_label)s 已经存在了！
%(model_name)s with this %(field_labels)s already exists.,Ein %(model_name)s mit diesem %(field_labels)s gibt's schon!,,¡Ya existe un %(model_name)s con estos %(field_labels)s!,Un %(model_name)s avec ces %(field_labels)s existe déjà !,%(model_name)s con questo %(field_labels)s esiste già!,%(model_name)s с этими %(field_labels)s уже существует.,这个 %(model_name)s 的 %(field_labels)s 已经存在了！
%(truncated_text)s…,%(truncated_text)s…,,%(truncated_text)s…, %(truncated_text)s…,%(truncated_text)s…, %(truncated_text)s…, %(truncated_text)s…
%s GB,%s GB,,%s GB,%s Go,%s GB,%s ГБ,%s GB
%s KB,%s KB,,%s KB,%s Ko,%s KB,%s КБ,%s KB
%s MB,%s MB,,%s MB,%s Mo,%s MB,%s МБ,%s MB
%s PB,%s PB,,%s PB,%s Po,%s PB,%s ПБ,%s PB
%s TB,%s TB,,%s TB,%s To,%s TB,%s ТБ,%s TB
(Hidden field %(name)s) %(error)s,(Verstecktes Feld %(name)s) %(error)s,,(Campo oculto %(name)s) %(error)s,(Champ caché %(name)s) %(error)s,(Campo nascosto %(name)s) %(error)s,(Скрытое поле %(name)s) %(error)s,(隐藏字段 %(name)s) %(error)s
A JSON object,Ein JSON-Ding,,Un objeto JSON,Un objet JSON,Un oggetto JSON,Объект JSON,JSON 对象
A new activation code has been sent to your email address.,Ein neuer Aktivierungscode ist auf dem Weg zu deiner E-Mail!,A new activation code has been sent to your email address.,¡Un nuevo código de activación ha sido enviado a tu correo!,Un nouveau code d'activation a été envoyé à votre adresse e-mail.,Ti abbiamo mandato un nuovo codice segreto via email!,Новый код активации отправлен на вашу электронную почту.,新的激活码已发送到您的电子邮件地址。
A new activation link has been sent to your email address.,Ein neuer Aktivierungslink ist auf dem Weg zu deiner E-Mail!,,¡Un nuevo enlace de activación ha sido enviado a tu correo!,Un nouveau lien d'activation a été envoyé à votre adresse e-mail.,Ti abbiamo mandato un nuovo link magico via email!,Новый ссылка активации отправлена на вашу электронную почту.,新的激活链接已发送到您的电子邮件地址。
AM,Vormittags,,Mañana,Matin,MATT,Утро,上午
About,Über uns,,Acerca de,Nous concernant,Chi Siamo,О нас,关于我们
About StoneWalker,Alles über StoneWalker,,Todo sobre StoneWalker,Tout sur StoneWalker,Tutto su StoneWalker,Всё о StoneWalker,关于 StoneWalker
Activation code not found.,Aktivierungscode nicht gefunden.,We can't find that magic code. Double-check it!,Código de activación no encontrado.,Le code d'activation est introuvable.,Il codice segreto è sparito! Non lo troviamo da nessuna parte.,Код активации не найден.,未找到激活码。
Add New Stone,Neuen Stein hinzufügen,,Añadir nueva piedra,Ajouter une nouvelle pierre,Aggiungi Nuovo Sasso,Добавить новый камень,添加新石头
Add new stone,Neuen Stein hinzufügen,,Añadir nueva piedra,Ajouter une nouvelle pierre,Aggiungi nuovo sasso,Добавить новый камень,添加新石头
Already have an account?,Hast du schon einen Account?,Already have an account?,¿Ya tienes una cuenta?,Vous avez déjà un compte ?,Hai già un account?,Уже есть учётная запись?,已经有一个账号了？
